method,resource_kind,resource_id,conflicts,affected_workers,total_wait_seconds,mean_wait_seconds,max_wait_seconds
volume_proportional,edge,AISLE:x=8.940800:y=23.647400<->AISLE:x=9.347200:y=23.647400,1,1,0.14400000000023283,0.14400000000023283,0.14400000000023283
volume_proportional,edge,AISLE:x=8.940800:y=25.933400<->AISLE:x=9.347200:y=25.933400,1,1,0.050666666680626804,0.050666666680626804,0.050666666680626804
volume_proportional,edge,SUP:CC-08<->SUP:CC-09,49,8,179.44266666676822,3.6620952380973106,17.780000000006112
volume_proportional,edge,SUP:CC-09<->SUP:CC-10,25,8,24.01933333334813,0.9607733333339251,1.6313333333364426
volume_proportional,edge,SUP:CC-10<->SUP:CC-11,31,8,32.4401666667201,1.0464569892490356,3.1806666666667525
volume_proportional,edge,SUP:CC-11<->SUP:CC-12,17,7,17.10633333331822,1.0062549019598952,2.4949999999996635
volume_proportional,edge,SUP:CC-12<->SUP:CC-13,28,8,31.159166666699218,1.1128273809535434,2.2943333333350893
volume_proportional,edge,SUP:CC-13<->SUP:CC-14,10,5,6.886333333336964,0.6886333333336964,1.4986666666666508
volume_proportional,edge,SUP:CC-14<->SUP:CC-15,8,5,7.523666666666358,0.9404583333332948,1.7526666666667552
volume_proportional,edge,SUP:CC-15<->SUP:CC-16,3,3,3.1016666666669153,1.0338888888889717,1.7583333333333258
volume_proportional,edge,SUP:LC-09<->SUP:LC-10,1,1,0.931333333337534,0.931333333337534,0.931333333337534
volume_proportional,edge,SUP:LC-11<->SUP:LC-12,3,3,3.69850000001108,1.2328333333370267,1.4914999999999736
volume_proportional,pick_node,AISLE:x=11.023600:y=21.361400,1,1,1.0949999999993452,1.0949999999993452,1.0949999999993452
volume_proportional,pick_node,AISLE:x=11.023600:y=23.647400,2,2,5.00100000000009,2.500500000000045,3.0
volume_proportional,pick_node,AISLE:x=11.023600:y=28.219400,12,2,34.44766666666328,2.8706388888886067,3.0
volume_proportional,pick_node,AISLE:x=11.430000:y=28.219400,6,2,17.271999999986292,2.878666666664382,3.0
volume_proportional,pick_node,AISLE:x=11.836400:y=28.219400,1,1,1.7189999999864085,1.7189999999864085,1.7189999999864085
volume_proportional,pick_node,AISLE:x=11.836400:y=30.505400,6,2,16.7976666666668,2.7996111111111333,3.0000000000000284
volume_proportional,pick_node,AISLE:x=13.563600:y=19.075400,1,1,1.0299999999951979,1.0299999999951979,1.0299999999951979
volume_proportional,pick_node,AISLE:x=15.240000:y=28.219400,1,1,1.7326666666485835,1.7326666666485835,1.7326666666485835
volume_proportional,pick_node,AISLE:x=16.510000:y=28.219400,13,5,41.22099999999875,3.1708461538460577,6.0
volume_proportional,pick_node,AISLE:x=16.916400:y=28.219400,2,2,2.7599999999911233,1.3799999999955617,2.373333333318442
volume_proportional,pick_node,AISLE:x=2.590800:y=23.647400,3,2,7.102166666663834,2.3673888888879446,3.0
volume_proportional,pick_node,AISLE:x=5.994400:y=23.647400,2,2,4.4789999999998145,2.2394999999999072,3.0
volume_proportional,pick_node,AISLE:x=7.264400:y=25.933400,10,3,25.00616666665519,2.500616666665519,3.0
volume_proportional,pick_node,AISLE:x=7.670800:y=21.361400,2,2,4.095000000000027,2.0475000000000136,3.0
volume_proportional,pick_node,AISLE:x=7.670800:y=25.933400,4,2,10.41966666667031,2.6049166666675774,3.0
volume_proportional,pick_node,AISLE:x=7.670800:y=35.077400,2,2,3.0113333333328,1.5056666666664,3.0
volume_proportional,pick_node,AISLE:x=8.077200:y=21.361400,1,1,1.7666666666666515,1.7666666666666515,1.7666666666666515
volume_proportional,pick_node,AISLE:x=8.534400:y=30.505400,2,2,5.683666666666454,2.841833333333227,3.0
volume_proportional,pick_node,AISLE:x=9.347200:y=21.361400,1,1,1.0950000000000273,1.0950000000000273,1.0950000000000273
volume_proportional,pick_node,AISLE:x=9.347200:y=30.505400,2,2,5.259166666666658,2.629583333333329,3.0
